s1,s2,label
hola hago clic producto recibido,compré producto recibido correo electrónico confirmación,0
hola cerré disputa 21 mayo 2017 dice realizará reembolso cuándo reembolsará dinero,obtuve reembolso dinero pasado dos meses cuándo devolverá dinero,0
ordené españa españa ahora mandan pedido china,pedido llegó color diferente pedí,0
debo pagar impuestos personalizados,cómo pagar derechos aduana,1
recibí pedido,pedido muestra pagado hice,0
hola eva principio pregunta puedo escribir alemán,cómo puedo escribir comentarios productos,0
tan enojado,abrí disputa ahora,0
puedo abrir disputa,puedo rastrear,0
cómo puedo verificar número pedido,dónde puedo ver número rastreador pedidos,0
necesito respuesta,necesito factura artículo compré,0
cómo responder disputa,cómo respondo comentarios,0
vivo china vivo brasil,quiero contacto vivo ahora,0
significa orden cerrada,orden seguimiento significa colección,0
cómo intercambiar monedas,cómo cambiar monedas cupón,1
cómo informo vendedor fraude,quiero informar vendedor,1
hola quiero comprar vendedor ajustar precio sistema funciona automáticamente permite vendedor ajuste favor ayuda,hola necesito decirte orden,0
cómo puedo saber si pedido sido enviado,cómo puedo saber si pedido enviado,1
cancelé pedido vendedor,pagué pedido,0
ordené españa españa ahora mandan pedido china,proveedor china,0
quiero hacer compras cómo comprar,vendré verte mañana,0
hola vivo canadá actualmente rastreando paquete dice llegado país destino dice estambul paquete enviado país equivocado,cuándo puedo recibir paquete después enviar producto,0
promoción comenzó precio producto cambió,precio promoción cambia,1
número color l,cómo puedo ver mensaje,0
hecho seguimiento,disputa compañía hecho resolver problema,0
formularios documentos van,cuándo recibiré pedidos,0
cómo hacer pedido,cómo hago pedido,1
imposible unirse atención cliente contacto,cómo puedo contactar servicio atención cliente,1
quiero hacer compras cómo comprar,carrito compras,0
puedo abrir disputa,puedo adjuntar foto disputa,0
pedido siendo procesado,tarjeta débito siendo aceptada,0
favor plazo protección compra terminado puede devolver dinero esperar disputa error enviar sitio mercancía enviada brasil gracias,cómo devuelves dinero si bienes reciben,1
iniciado sesión sesión anterior expirado favor inicia sesión nuevo,dice proveedor enviado mensaje pedido,0
sitio seguro,proveedor desaparecido sitio,0
acabo recibir correo electrónico dice devolver batería pagar franqueo devolución obtener reembolso culpa recibir artículo incorrecto vendedor debe enviarme mensaje vuelta,recibí correo electrónico diciendo mensaje pedido ninguno,0
ok favor contáctame personas,puedo contactar compradores,0
cómo eliminar mensajes aplicación,cómo eliminar cookies,0
cancelar orden,vendedor cancelará pedido,0
querida pagar gran cantidad comentarios adecuados,cómo consulto vendedor si comentarios,0
pasado 32 días veo ninguna actualización pedido,veo ningún registro pedido,0
cómo extiendo protección comprador,cómo puedo ser elegible protección comprador,0
hola gustaría saber si vendedor necesita envíe vuelta cómo reembolsa tarifas envío costo vestido usando correo registrado singapur,caro enviar bien vuelta,1
cómo hago pedido,cómo realizo seguimiento pedido,0
podría ayudarme,háblame,0
nunca comprado,compré producto recibido correo electrónico confirmación,0
cómo subir foto,puedo subir documentos,1
quiero zapatos anchos caminar ancho debe ser ee eee eeee,quiero ser cancelado correos electrónicos,0
toma demasiado tiempo,cuánto tiempo tardará envío,0
puedo pagar transferencia bancaria,tratando hacer pago transferencia bancaria puedo,1
hola dinero quiero hacer hacer hacer,garantías comprar aquí,0
puse autorización aprobó todavía funciona,cuándo aprobará reembolso cuándo recibiré,0
cómo abrir disputa aplicación,cómo puedo abrir disputa si orden completa,0
favor lea arriba,cómo puedo leer comentarios escritos,0
cómo cancelar disputa,cómo cancelo disputa,1
vendedor anuncia precio incorrecto,vendedor enviado mercancías índice incorrecto,0
recuperar monedas aplicación,cómo recupero pedido eliminado error,0
puedo usar cupón u obtener descuento,cómo puedo obtener descuento,0
necesito encontrar información pago,necesito información pago western union,0
recibí reembolso,recibí reembolso,1
trato reembolso devuelvo producto menú demasiado caro envío productos china quién soporta costo transporte bienes,puedo enviar productos china,0
quiero ser vendedor,quiero reembolso completo vendedor acuerdo,0
órdenes llegaron tiempo,artículo llegado,1
preocupación conocer progreso pedido,quiero saber cómo pedido,1
cómo configurar moneda,cómo convertidor moneda,0
quiero dinero tan pronto intente nuevo compre usted,ofrecen información envío si compro usted,0
hola extendí servicio atención cliente 3 veces,presioné botón pagar ahora 3 veces puedo hacer,0
razón debe razón seguridad suspendieron cuenta,cómo verificar motivo disputa,0
cómo eliminar mensajes aplicación,cómo eliminar orden paga,0
cómo subir evidencia disputa,sé cómo subir fotos,0
puedo chatear persona robot eva entendiendo,puedo chatear persona real,1
necesito cambio puede enviar correo electrónico localizo correo electrónico necesito comprar,necesito dirección correo electrónico,0
hola buenas noches necesito ayuda puedo emitir ticket pagar cuenta,necesito ayuda anna,0
favor borre cookies navegador,favor dame correo electrónico soporte sitio,0
sé problema,sé sitio web,0
cómo buscar buen vendedor,cómo borrar historial búsqueda,0
pagado producto,pagado,1
cómo vincular tarjeta,recibí enlace verificación correo electrónico,0
cómo abrir disputa,cómo abrir estuche,0
dando respuesta correcta necesito diez artículos principales vendí 2017,responderás,0
quiero comprar producto sé cómo pagar dinero,quiero pagarle vendedor,1
cómo dejar comentarios vendedor,cómo dejar comentario anónimo,0
cómo veo cupón,cómo obtengo cupón,0
paga cancelada,cuándo recibiré reembolso pedido cancelado,0
presenté apelación hace 4 días ninguna respuesta,envié dinero hace 3 días cambió,0
cobraron artículo pensé comprado nunca recibí puedo encontrar rastro pedidos,nunca recibido producto comprado,0
ordenado dirección correo electrónico incorrecta,ingresado dirección entrega incorrecta,0
quiero cambiar tamaño,quiero saber tamaño brasil,0
cómo puedo informar vendedor fraude,recibí correo electrónico aviso vendedor sospechoso problema fraude,0
incapaz encontrar dirección,incapaz obtener respuesta vendedor,0
número seguimiento tratando hacer pedido,tratando ordenar funcionando,1
si pedido muestra 'pedido cancelado ' significa,pagué pedido sigue mostrando mismo,0
leer pregunta responder favor,quiero leer comentarios escritos pedido,0
entonces dónde puedo encontrar cupones intercambió dónde,puedo ver cupones,1
uso cajero automático,si quiero usar cupón,0
envío rápido mensajería,hablas rápido,0
cómo encontrar vendedor confiable,puedo encontrar vendedor verificado,0
